total_volume,total_sales,total_supply,num_owners,average_price,num_reports,market_cap,floor_price,category,qtd_traits,qtd_editors,target
10.398811150915447,4526.0,5525.0,542,0.0022975720616251,1,1.6922640735,0.0,pfps,7,1,0
0.307589,22.0,184.0,165,0.0139813181818181,0,0.0,0.098,art,0,1,1
3.6880000000000006,39.0,40.0,26,0.0945641025641025,0,0.0,0.0,pfps,1,2,0
3.3200363626354994,64.0,1000.0,500,0.0518755681661796,0,0.0,0.0037404,gaming,13,1,2
0.015,1.0,1.0,68,0.015,0,0.0,0.0,art,0,1,1
0.10661952,3.0,12.0,3,0.03553984,0,0.0,0.0,pfps,0,1,0
0.238069998999,48.0,2394.0,2258,0.0049597916458125,0,0.0,0.006,art,0,1,1
1.7096190000000002,51.0,423.0,195,0.0335219411764705,0,0.0,0.0,pfps,0,1,0
18.5,74.0,100.0,32,0.25,0,0.0,0.05,photography,7,1,2
0.071,6.0,173.0,6,0.0118333333333333,0,0.0,0.07,photography,0,1,2
0.6943,5.0,53.0,52,0.13886,0,0.0,0.05,memberships,7,1,2
35.293784499582415,3949.0,4982.0,801,0.008937397948742,0,0.9342535356,0.0,pfps,11,1,0
0.09149,17.0,1.0,498,0.0053817647058823,0,0.0,0.0,art,0,1,1
0.02,4.0,1.0,4,0.005,0,0.0,0.005,art,0,1,1
0.0,1.0,18.0,2,0.0,0,0.0,0.0,art,0,1,1
26.87196801248693,321.0,864.0,632,0.0837132959890558,0,25.9488,0.061,art,2,1,1
0.035,1.0,4.0,2,0.035,0,0.0,0.0,art,0,1,1
8757.811307393109,1277.0,1000.0,765,6.858113788091706,2,886.6666633333334,0.99,memberships,0,4,2
7.310987739999962,837.0,888.0,489,0.0087347523775387,1,0.0,0.015,pfps,14,1,0
0.017125794,60.0,60.0,20,0.0002854299,0,0.0,0.0,art,0,1,1
1.116139999999998,66.0,5564.0,347,0.016911212121212,0,0.0,0.003,pfps,6,1,0
0.31,35.0,1.0,31,0.0088571428571428,0,0.0,0.0,music,0,1,2
0.05,1.0,1.0,2,0.05,0,0.0,0.0,art,0,1,1
56.89116999999998,351.0,6705.0,6005,0.1620831054131053,1,0.0,0.018,art,1,3,1
0.070647674,14.0,5.0,151,0.0050462624285714,0,0.0,0.0,gaming,3,1,2
0.0285,6.0,24.0,6,0.00475,0,0.0,0.005,pfps,0,1,0
0.00077578,1.0,1.0,2,0.00077578,0,0.0,0.0,art,0,1,1
1621.6793206709826,9771.0,10000.0,1444,0.1659686133119417,0,0.0,0.0,pfps,13,1,0
0.01199387,12.0,54.0,50,0.0009994891666666,0,0.0,0.0,art,0,2,1
0.0725,1.0,1.0,2,0.0725,0,0.0,0.0,art,0,1,1
0.0011,11.0,127.0,2,0.0001,0,0.0,0.0001,art,5,1,1
45.66,31.0,100.0,3,1.4729032258064516,0,0.0,0.0,art,1,2,1
171.83800000000002,53.0,100.0,3,3.24222641509434,0,0.0,0.0,memberships,1,2,2
8.762108380000003,331.0,369.0,267,0.0264716265256797,0,0.0,0.004,art,0,1,1
0.001991444,3.0,120.0,2,0.0006638146666666,0,0.0,0.0,pfps,6,1,0
27.17839999899999,18.0,34.0,17,1.509911111055555,0,0.0,135.0,pfps,0,1,0
0.1777,1.0,39.0,2,0.1777,0,0.0,0.0,art,1,3,1
0.001,1.0,1.0,1,0.001,0,0.0,0.0,art,2,2,1
1.1289,35.0,10001.0,3831,0.0322542857142857,2,0.0,0.011238,art,2,1,1
0.105,3.0,34.0,8,0.035,0,0.0,0.0,memberships,5,1,2
0.002947019352,50.0,50.0,11,5.894038704e-05,0,0.0,0.0,memberships,3,1,2
54.678025038465385,341.0,444.0,245,0.1603461144823031,0,26.64,0.4,pfps,13,1,0
0.011,1.0,184.0,52,0.011,0,0.0,0.0,art,1,1,1
1.0165780000000004,102.0,1111.0,388,0.0099664509803921,0,0.0,0.0,pfps,8,1,0
6.422299999999997,62.0,936.0,310,0.1035854838709676,0,46.8,0.023,art,3,1,1
1.6800000000000002,3.0,2.0,2,0.56,0,0.0,0.0,pfps,0,1,0
0.13,2.0,4.0,228,0.065,0,0.0,0.08,art,6,1,1
5.20297252929677,1174.0,4441.0,796,0.0044318335002527,0,4.10849025048,0.0,pfps,15,2,0
10.827859769877794,772.0,1555.0,509,0.0140257250905152,0,0.0,0.004,pfps,16,2,0
10.18961394648998,566.0,1234.0,477,0.0180028514955653,0,0.0,0.0065,pfps,15,1,0
0.0058588,8.0,1.0,2,0.00073235,0,0.0,0.0,memberships,0,1,2
0.02,1.0,26.0,2,0.02,0,0.0,0.0,art,0,1,1
4.795000000000002,19.0,1800.0,40,0.2523684210526317,0,0.0,0.0,pfps,10,3,0
